kolo,dan,datum,ura,id_domaci,lestvica_domaci,domaca_ekipa,id_gostje,lestvica_gostje,gostujoca_ekipa,zadetki_domaci,tocke_domaci,zadetki_gostje,tocke_gostje
1,sobota,8/24/19,6:00 PM,130,11,Parma,506,1,Juventus,0,0,1,3
1,sobota,8/24/19,8:45 PM,430,10,Fiorentina,6195,7,SSC Napoli,3,0,4,3
1,nedelja,8/25/19,6:00 PM,410,13,Udinese Calcio,5,6,AC Milan,1,3,0,0
1,nedelja,8/25/19,8:45 PM,1390,14,Cagliari Calcio,19,19,Brescia,0,0,1,3
1,nedelja,8/25/19,8:45 PM,276,9,Hellas Verona,1025,12,Bologna,1,1,1,1
1,nedelja,8/25/19,8:45 PM,12,5,AS Roma,252,17,Genoa,3,1,3,1
1,nedelja,8/25/19,8:45 PM,1038,15,Sampdoria,398,4,Lazio,0,0,3,3
1,nedelja,8/25/19,8:45 PM,2722,20,SPAL,800,3,Atalanta,2,0,3,3
1,nedelja,8/25/19,8:45 PM,416,16,Torino,6574,8,Sassuolo,2,3,1,0
1,ponedeljek,8/26/19,8:45 PM,46,2,Inter,1005,18,Lecce,4,3,0,0
2,petek,8/30/19,8:45 PM,1025,11,Bologna,2722,14,SPAL,1,3,0,0
2,sobota,8/31/19,6:00 PM,5,17,AC Milan,19,6,Brescia,1,3,0,0
2,sobota,8/31/19,8:45 PM,506,7,Juventus,6195,3,SSC Napoli,4,3,3,0
2,nedelja,9/1/19,6:00 PM,398,2,Lazio,12,10,AS Roma,1,1,1,1
2,nedelja,9/1/19,8:45 PM,800,4,Atalanta,416,5,Torino,2,0,3,3
2,nedelja,9/1/19,8:45 PM,1390,16,Cagliari Calcio,46,1,Inter,1,0,2,3
2,nedelja,9/1/19,8:45 PM,252,9,Genoa,430,13,Fiorentina,2,3,1,0
2,nedelja,9/1/19,8:45 PM,1005,20,Lecce,276,12,Hellas Verona,0,0,1,3
2,nedelja,9/1/19,8:45 PM,6574,15,Sassuolo,1038,19,Sampdoria,4,3,1,0
2,nedelja,9/1/19,8:45 PM,410,8,Udinese Calcio,130,18,Parma,1,0,3,3
3,sobota,9/14/19,3:00 PM,430,16,Fiorentina,506,2,Juventus,0,1,0,1
3,sobota,9/14/19,6:00 PM,6195,9,SSC Napoli,1038,20,Sampdoria,2,3,0,0
3,sobota,9/14/19,8:45 PM,46,1,Inter,410,13,Udinese Calcio,1,3,0,0
3,nedelja,9/15/19,12:30 PM,252,5,Genoa,800,10,Atalanta,1,0,2,3
3,nedelja,9/15/19,3:00 PM,19,14,Brescia,1025,6,Bologna,3,0,4,3
3,nedelja,9/15/19,3:00 PM,130,11,Parma,1390,18,Cagliari Calcio,1,0,3,3
3,nedelja,9/15/19,3:00 PM,2722,17,SPAL,398,4,Lazio,2,3,1,0
3,nedelja,9/15/19,6:00 PM,12,15,AS Roma,6574,8,Sassuolo,4,3,2,0
3,nedelja,9/15/19,8:45 PM,276,7,Hellas Verona,5,12,AC Milan,0,0,1,3
3,ponedeljek,9/16/19,8:45 PM,416,3,Torino,1005,19,Lecce,1,0,2,3
4,petek,9/20/19,8:45 PM,1390,15,Cagliari Calcio,252,10,Genoa,3,3,1,0
4,sobota,9/21/19,3:00 PM,410,18,Udinese Calcio,19,16,Brescia,0,0,1,3
4,sobota,9/21/19,6:00 PM,506,3,Juventus,276,11,Hellas Verona,2,3,1,0
4,sobota,9/21/19,8:45 PM,5,5,AC Milan,46,1,Inter,0,0,2,3
4,nedelja,9/22/19,12:30 PM,6574,12,Sassuolo,2722,13,SPAL,3,3,0,0
4,nedelja,9/22/19,3:00 PM,1025,2,Bologna,12,8,AS Roma,1,0,2,3
4,nedelja,9/22/19,3:00 PM,1005,14,Lecce,6195,4,SSC Napoli,1,0,4,3
4,nedelja,9/22/19,3:00 PM,1038,20,Sampdoria,416,6,Torino,1,3,0,0
4,nedelja,9/22/19,6:00 PM,800,7,Atalanta,430,19,Fiorentina,2,1,2,1
4,nedelja,9/22/19,8:45 PM,398,9,Lazio,130,17,Parma,2,3,0,0
5,torek,9/24/19,7:00 PM,276,13,Hellas Verona,410,19,Udinese Calcio,0,1,0,1
5,torek,9/24/19,9:00 PM,19,11,Brescia,506,2,Juventus,1,0,2,3
5,sreda,9/25/19,7:00 PM,12,4,AS Roma,800,6,Atalanta,0,0,2,3
5,sreda,9/25/19,9:00 PM,430,20,Fiorentina,1038,17,Sampdoria,2,3,1,0
5,sreda,9/25/19,9:00 PM,252,14,Genoa,1025,7,Bologna,0,1,0,1
5,sreda,9/25/19,9:00 PM,46,1,Inter,398,5,Lazio,1,3,0,0
5,sreda,9/25/19,9:00 PM,6195,3,SSC Napoli,1390,9,Cagliari Calcio,0,0,1,3
5,sreda,9/25/19,9:00 PM,130,18,Parma,6574,8,Sassuolo,1,3,0,0
